Dailymed.01b14603-8f29-4fa3-8d7e-9d523f802e0b.s.11	Dailymed.01b14603-8f29-4fa3-8d7e-9d523f802e0b.s.11.e.0	Decrease_Interaction	C54356	The metabolism of <LABELDRUG> to its active metabolite can be impaired by genetic variations in CYP2C19 [see Boxed Warning] and by concomitant <PRECIPITANT>.
Dailymed.01b14603-8f29-4fa3-8d7e-9d523f802e0b.s.34	Dailymed.01b14603-8f29-4fa3-8d7e-9d523f802e0b.s.34.e.0	Decrease_Interaction	C54358	Concomitant use of certain <PRECIPITANT> results in reduced plasma concentrations of the active metabolite of <LABELDRUG> and a reduction in platelet inhibition [see Warnings and Precautions (5.1) and Dosage and Administration (2.4)].
Dailymed.01b388a0-7dfb-11de-bc4e-0002a5d5c51b.s.65	Dailymed.01b388a0-7dfb-11de-bc4e-0002a5d5c51b.s.65.e.3	Increase_Interaction	C54357	"In healthy subjects, coadministration of <LABELDRUG> was associated with significant reduction in the renal clearance of <PRECIPITANT>, with corresponding increases in the AUC. "
Dailymed.01b388a0-7dfb-11de-bc4e-0002a5d5c51b.s.67	Dailymed.01b388a0-7dfb-11de-bc4e-0002a5d5c51b.s.67.e.0	Increase_Interaction	C54357	"Because <LABELDRUG> and <PRECIPITANT>s compete for secretion by renal tubules, patients receiving high doses of <PRECIPITANT>s may experience <PRECIPITANT> toxicity when <LABELDRUG> is concomitantly administered. "
Dailymed.01b388a0-7dfb-11de-bc4e-0002a5d5c51b.s.72	Dailymed.01b388a0-7dfb-11de-bc4e-0002a5d5c51b.s.72.e.0	Increase_Interaction	C54355	"Coadministration of <PRECIPITANT> is reported to increase the area under the curve for <LABELDRUG> by 50%, but dose adjustment of <LABELDRUG> is not necessary."
Dailymed.01b388a0-7dfb-11de-bc4e-0002a5d5c51b.s.73	Dailymed.01b388a0-7dfb-11de-bc4e-0002a5d5c51b.s.73.e.0	Decrease_Interaction	C54356	"Concomitant use of <LABELDRUG> and <PRECIPITANT> has not been studied in humans but, in a study in animals, coadministration of <PRECIPITANT> decreased the absorption of orally administered <LABELDRUG>. "
Dailymed.01b388a0-7dfb-11de-bc4e-0002a5d5c51b.s.76	Dailymed.01b388a0-7dfb-11de-bc4e-0002a5d5c51b.s.76.e.0	Increase_Interaction	C54357	"Other <PRECIPITANT> are known to reduce the renal clearance of lithium, inducing a high risk of lithium toxicity, so coadministration of lithium and <PRECIPITANT> should be undertaken with great caution, if at all. "
Dailymed.01b388a0-7dfb-11de-bc4e-0002a5d5c51b.s.76	Dailymed.01b388a0-7dfb-11de-bc4e-0002a5d5c51b.s.76.e.3	Increase_Interaction	C54357	"Other diuretics are known to reduce the renal clearance of <PRECIPITANT>, inducing a high risk of <PRECIPITANT> toxicity, so coadministration of <PRECIPITANT> and diuretics should be undertaken with great caution, if at all. "
Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.7	Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.7.e.0	Increase_Interaction	C54355	<LABELDRUG> is metabolized to a small degree by the CYP3A4 isoenzyme of the cytochrome P450 system and an <PRECIPITANT> could increase systemic <LABELDRUG> exposure. 
Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.8	Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.8.e.2	Increase_Interaction	C54355	"More important, <LABELDRUG> is eliminated by cationic renal secretion, and three <PRECIPITANT> have been shown to increase systemic <LABELDRUG> exposure. "
Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.21	Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.21.e.0	Increase_Interaction	C54355	<PRECIPITANT> at 400 mg BID (the usual prescription dose) co-administered with <LABELDRUG> (500 mcg BID) for 7 days has been shown to increase <LABELDRUG> plasma levels by 58%. 
Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.22	Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.22.e.0	Increase_Interaction	C54355	<PRECIPITANT> at doses of 100 mg BID (OTC dose) resulted in a 13% increase in <LABELDRUG> plasma levels (500 mcg single dose). 
Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.27	Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.27.e.0	Increase_Interaction	C54355	"Co-administration of <LABELDRUG> with <PRECIPITANT> resulted in increases in <LABELDRUG> peak plasma levels of 42%, although overall exposure to <LABELDRUG> was not significantly increased. "
Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.31	Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.31.e.0	Increase_Interaction	C54602	"<PRECIPITANT> at 400 mg daily (the maximum approved prescription dose) co-administered with <LABELDRUG> (500 mcg BID) for 7 days has been shown to increase <LABELDRUG> Cmax by 53% in males and 97% in females, and AUC by 41% in males and 69% in females."
Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.38	Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.38.e.2	Increase_Interaction	C54602	"In patients receiving <PRECIPITANT> alone, <LABELDRUG> AUC increased by 27% and Cmax by 21%. "
Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.40	Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.40.e.0	Increase_Interaction	C54602	"In patients receiving <PRECIPITANT>, <LABELDRUG> AUC increased by 30% and Cmax by 16%. "
Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.48	Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.48.e.8	Increase_Interaction	C54355	"In addition, <PRECIPITANT> this route (e.g., triamterene, metformin, and amiloride) should be co-administered with care as they might increase <LABELDRUG> levels."
Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.50	Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.50.e.0	Increase_Interaction	C54355	<PRECIPITANT> could increase systemic <LABELDRUG> exposure. 
Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.66	Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.66.e.0	Increase_Interaction	C54355	"The mean clearances of <LABELDRUG> were 16% and 15% lower in patients on <PRECIPITANT> and inhibitors of tubular organic cation transport, respectively."
Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.66	Dailymed.02438044-d6a3-49e9-a1ac-3aad21ef2c8c.s.66.e.1	Increase_Interaction	C54355	"The mean clearances of <LABELDRUG> were 16% and 15% lower in patients on thiazide diuretics and <PRECIPITANT>, respectively."
