C54357	Diuretic agents reduce the renal clearance of <PRECIPITANT> and add a high risk of <PRECIPITANT> toxicity.
C54611	<LABELDRUG> has been shown to increase the half-life of <PRECIPITANT> .
C54357	Digitalis glycosides : Concomitant administration of <PRECIPITANT> and <LABELDRUG> leads to an approximate 10 % to 20 % increase of <PRECIPITANT> blood levels at some time points .
C54355	"(7.5) Strong <PRECIPITANT> substantially increase <LABELDRUG> exposure and so increase the risk of dyspnea, bleeding, and other adverse events."
C54357	<LABELDRUG> increases serum concentrations of simvastatin and <PRECIPITANT> because these drugs are metabolized by CYP3A4 .
C54357	<LABELDRUG> increases serum concentrations of <PRECIPITANT> and lovastatin because these drugs are metabolized by CYP3A4 .
C54356	Strong <PRECIPITANT> substantially reduce <LABELDRUG> exposure and so decrease the efficacy of <LABELDRUG> .
C54355	"Strong <PRECIPITANT> substantially increase <LABELDRUG> exposure and so increase the risk of dyspnea , bleeding , and other adverse events ."
C54355	"Coadministration of inhibitors of the uptake transporter ( rifampin , <PRECIPITANT> ) or efflux transporter ( ritonavir ) may increase the systemic exposure to <LABELDRUG> ."
C54355	"Coadministration of <PRECIPITANT> ( rifampin , cyclosporine ) or efflux transporter ( ritonavir ) may increase the systemic exposure to <LABELDRUG> ."
C54355	"Coadministration of inhibitors of the uptake transporter ( <PRECIPITANT> , cyclosporine ) or efflux transporter ( ritonavir ) may increase the systemic exposure to <LABELDRUG> ."
C54355	"Coadministration of inhibitors of the uptake transporter ( rifampin , cyclosporine ) or efflux transporter ( <PRECIPITANT> ) may increase the systemic exposure to <LABELDRUG> ."
C54357	"Lithium : Increases in serum <PRECIPITANT> concentrations and <PRECIPITANT> toxicity have been reported during concomitant administration of <PRECIPITANT> with angiotensin II receptor antagonists , including <LABELDRUG> ."
C54357	"Potassium-sparing diuretics, potassium supplements or salt substitutes may lead to increases in serum potassium, and in heart failure patients, increases in serum creatinine (7) NSAID use may lead to increased risk of renal impairment and loss of antihypertensive effect (7) Dual inhibition of the renin-angiotensin system: Increased risk of renal impairment, hypotension, and hyperkalemia (7) Lithium: Increases in serum <PRECIPITANT> concentrations and <PRECIPITANT> toxicity (7) In controlled clinical trials, clinically important changes in standard laboratory parameters were rarely associated with administration of <LABELDRUG>."
C54356	<PRECIPITANT> and Colestipol Resins- Both cholestyramine and colestipol resins have the potential of binding thiazide diuretics and reducing diuretic absorption from the gastrointestinal tract.
C54356	Cholestyramine and Colestipol Resins- Both cholestyramine and <PRECIPITANT> have the potential of binding thiazide diuretics and reducing diuretic absorption from the gastrointestinal tract.
C54357	Diuretic agents reduce the renal clearance of <PRECIPITANT> and add a high risk of <PRECIPITANT> toxicity.
C54357	<PRECIPITANT> generally should not be given with diuretics because they reduce lithium's renal clearance and add a high risk of lithium toxicity.
C54357	"Patients receiving high doses of <PRECIPITANT> concomitantly with <LABELDRUG> , as in rheumatic disease , may experience salicylate toxicity at lower doses because of competitive renal excretory sites ."
C54615	"There is evidence that treatment with <PRECIPITANT> leads to decrease intestinal absorption of <LABELDRUG> , and consequently to lower peak serum <LABELDRUG> concentrations ."
C54357	"Antiarrhythmics : The metabolism of quinidine , procainamide , <PRECIPITANT> can be inhibited by <LABELDRUG> ."
C54357	"Antiarrhythmics : The metabolism of quinidine , <PRECIPITANT> , flecainide can be inhibited by <LABELDRUG> ."
C54357	"Antiarrhythmics : The metabolism of <PRECIPITANT> , procainamide , flecainide can be inhibited by <LABELDRUG> ."
C54357	"<PRECIPITANT> ( CYP3A substrate ) administered in combination with oral <LABELDRUG> has been reported to produce persistently elevated plasma concentrations of cyclosporine resulting in elevated creatinine , despite reduction in dose of cyclosporine ."
C54357	"Cyclosporine ( <PRECIPITANT> ) administered in combination with oral <LABELDRUG> has been reported to produce persistently elevated plasma concentrations of cyclosporine resulting in elevated creatinine , despite reduction in dose of cyclosporine ."
C54357	"<PRECIPITANT> (CYP3A substrate) administered in combination with oral <LABELDRUG> has been reported to produce persistently elevated plasma concentrations of cyclosporine resulting in elevated creatinine, despite reduction in dose of cyclosporine."
C54357	"Cyclosporine (<PRECIPITANT>) administered in combination with oral <LABELDRUG> has been reported to produce persistently elevated plasma concentrations of cyclosporine resulting in elevated creatinine, despite reduction in dose of cyclosporine."
C54357	"Digoxin : In patients receiving <PRECIPITANT> therapy , administration of oral <LABELDRUG> results in an increase in serum <PRECIPITANT> concentration ."
C54355	"During transfer to oral <PRECIPITANT>, reduce the dose levels of previously administered agents by 30 to 50% several days after the addition of oral <PRECIPITANT>."
C54611	Increased steady-state levels of <PRECIPITANT> during concomitant therapy with <LABELDRUG> have been reported.
C54357	"Limit the daily dose of lovastatin to 40 mg. Lower starting and maintenance doses of other CYP3A4 substrates (e.g., <PRECIPITANT>) may be required as <LABELDRUG> may increase the plasma concentration of these drugs."
C54357	"Limit the daily dose of lovastatin to 40 mg. Lower starting and maintenance doses of other <PRECIPITANT> (e.g., atorvastatin) may be required as <LABELDRUG> may increase the plasma concentration of these drugs."
C54357	"Limit the daily dose of <PRECIPITANT> to 40 mg. Lower starting and maintenance doses of other CYP3A4 substrates (e.g., atorvastatin) may be required as <LABELDRUG> may increase the plasma concentration of these drugs."
C54357	"Lower starting and maintenance doses of other CYP3A4 substrates ( e.g. , <PRECIPITANT> ) may be required as <LABELDRUG> may increase the plasma concentration of these drugs ."
C54357	"Lower starting and maintenance doses of other <PRECIPITANT> ( e.g. , atorvastatin ) may be required as <LABELDRUG> may increase the plasma concentration of these drugs ."
C54355	Patients should avoid <PRECIPITANT> beverages while taking <LABELDRUG> because exposure to <LABELDRUG> is significantly increased [see Clinical Pharmacology (12.3)].
